Title,Distributor,ReleaseDate,DomesticSales,InternationalSales,WorldSales,MovieRuntime,License
John Wick: Chapter 3 - Parabellum (2019),Lionsgate,15-May-19,171015687,156266092,327281779,2 hr 10 min,R
A Beautiful Mind (2001),Universal Pictures,21-Dec-01,170742341,146048916,316791257,2 hr 15 min,PG-13
Chicago (2002),Miramax,26-Feb-02,170687518,136089214,306776732,1 hr 53 min,PG-13
The Help (2011),Walt Disney Studios Motion Pictures,10-Aug-11,169708112,46931000,216639112,2 hr 26 min,PG-13
Hotel Transylvania 2 (2015),Sony Pictures Entertainment (SPE),21-Sep-15,169700110,305486596,475186706,1 hr 29 min,PG
Hidden Figures (2016),Twentieth Century Fox,25-Dec-16,169607287,66349611,235956898,2 hr 7 min,PG
Bridesmaids (2011),Universal Pictures,12-May-11,169106725,119276798,288383523,2 hr 5 min,R
Quantum of Solace (2008),Sony Pictures Entertainment (SPE),31-Oct-08,168368427,421212055,589580482,1 hr 46 min,PG-13
Wild Hogs (2007),Walt Disney Studios Motion Pictures,NA,168273550,85351877,253625427,1 hr 40 min,NA
Kong: Skull Island (2017),Warner Bros.,8-Mar-17,168052812,398600000,566652812,1 hr 58 min,PG-13
Three Men and a Baby (1987),Walt Disney Studios Motion Pictures,25-Nov-87,167780960,167780960,167780960,1 hr 42 min,NA
Gone Girl (2014),Twentieth Century Fox,2-Oct-14,167767189,201563174,369330363,2 hr 29 min,R
Hotel Transylvania 3: Summer Vacation (2018),Sony Pictures Entertainment (SPE),28-Jun-18,167510016,361073758,528583774,1 hr 37 min,PG
Casino Royale (2006),Sony Pictures Entertainment (SPE),15-Nov-06,167445960,449056952,616502912,2 hr 24 min,PG-13
Meet the Parents (2000),Universal Pictures,6-Oct-00,166244045,164200000,330444045,1 hr 48 min,PG-13
Fifty Shades of Grey (2015),Universal Pictures,11-Feb-15,166167230,403484237,569651467,2 hr 5 min,R
2012 (2009),Sony Pictures Entertainment (SPE),11-Nov-09,166112167,625105659,791217826,2 hr 38 min,PG-13
Robin Hood: Prince of Thieves (1991),Warner Bros.,14-Jun-91,165493908,225000000,390493908,2 hr 23 min,NA
Knives Out (2019),Lionsgate,21-Nov-19,165363234,146242347,311605581,2 hr 10 min,PG-13
Kung Fu Panda 2 (2011),DreamWorks,26-May-11,165249063,500443218,665692281,1 hr 30 min,PG
Hannibal (2001),Metro-Goldwyn-Mayer (MGM),9-Feb-01,165092268,186600000,351692268,2 hr 11 min,R
Eternals (2021),Walt Disney Studios Motion Pictures,NA,164819595,237027887,401847482,2 hr 36 min,NA
Catch Me If You Can (2002),DreamWorks Distribution,25-Dec-02,164615351,187498961,352114312,2 hr 21 min,PG-13
The Proposal (2009),Walt Disney Studios Motion Pictures,17-Jun-09,163958031,153417000,317375031,1 hr 48 min,PG-13
The Pursuit of Happyness (2006),Sony Pictures Entertainment (SPE),15-Dec-06,163566459,143561166,307127625,1 hr 57 min,PG-13
Big Daddy (1999),Sony Pictures Entertainment (SPE),25-Jun-99,163479795,71322100,234801895,1 hr 33 min,PG-13
Clash of the Titans (2010),Warner Bros.,31-Mar-10,163214888,330000105,493214993,1 hr 46 min,PG-13
The SpongeBob Movie: Sponge Out of Water (2015),Paramount Pictures,28-Jan-15,162994032,162192000,325186032,1 hr 32 min,PG
Batman Returns (1992),Warner Bros.,19-Jun-92,162902340,103990656,266892996,2 hr 6 min,PG-13
Django Unchained (2012),The Weinstein Company,25-Dec-12,162805434,263268939,426074373,2 hr 45 min,R
A Bug's Life (1998),Walt Disney Studios Motion Pictures,20-Nov-98,162798565,200460294,363258859,1 hr 35 min,NA
Jason Bourne (2016),Universal Pictures,27-Jul-16,162434410,253050504,415484914,2 hr 3 min,PG-13
Grown Ups (2010),Sony Pictures Entertainment (SPE),24-Jun-10,162001186,109456115,271457301,1 hr 42 min,PG-13
The Waterboy (1998),Walt Disney Studios Motion Pictures,6-Nov-98,161491646,24500000,185991646,1 hr 30 min,PG-13
Ice Age: Continental Drift (2012),Twentieth Century Fox,27-Jun-12,161321843,715922939,877244782,1 hr 28 min,PG
Straight Outta Compton (2015),Universal Pictures,14-Aug-15,161197785,40437206,201634991,2 hr 27 min,R
Die Another Day (2002),Metro-Goldwyn-Mayer (MGM),20-Nov-02,160942139,271028977,431971116,2 hr 13 min,PG-13
Shark Tale (2004),DreamWorks Distribution,23-Sep-04,160861908,213721971,374583879,1 hr 30 min,PG
How to Train Your Dragon: The Hidden World (2019),Universal Pictures,3-Jan-19,160799505,363589578,524389083,1 hr 44 min,PG
No Time to Die (2021),Metro-Goldwyn-Mayer (MGM),NA,160772007,613262000,774034007,2 hr 43 min,NA
A Quiet Place Part II (2020),Paramount Pictures,NA,160072261,137300000,297372261,1 hr 37 min,NA
The Heat (2013),Twentieth Century Fox,22-Feb-96,159582188,70348583,229930771,1 hr 57 min,R
Fantastic Beasts: The Crimes of Grindelwald (2018),Warner Bros.,12-Oct-18,159555901,495300000,654855901,2 hr 14 min,PG-13
Halloween (2018),Universal Pictures,17-Oct-18,159342015,96272926,255614941,1 hr 46 min,R
1917 (2019),Universal Pictures,25-Dec-19,159227644,225691745,384919389,1 hr 59 min,R
The Secret Life of Pets 2 (2019),Universal Pictures,24-May-19,158874395,271176898,430051293,1 hr 26 min,PG
Star Trek Beyond (2016),Paramount Pictures,20-Jul-16,158848340,184623476,343471816,2 hr 2 min,PG-13
The Firm (1993),Paramount Pictures,NA,158348367,111900000,270248367,2 hr 34 min,NA
The Longest Yard (2005),Paramount Pictures,27-May-05,158119460,33347096,191466556,1 hr 53 min,PG-13
